,Reviews
0,"Я ждал, когда пройду 80% курса, чтобы написать этот отзыв. И хотел написать очень и очень хвалебный --- но! Ребята, скажите, когда вы выпустите следующий курс? Вы же над ним работаете? Он будет? Я ничего так не жду, как продолжения. Потрясающая работа. Все, от начала до конца. Умоляю, выпускайте дальше :)"
1,"Пока что трудно для понимания, так как я абсолютный новичок. Но очень грамотно доносится информация, спасибо за это!"
2,Очень интересный курс. 4 звезды из 5 поставила за орфографические ошибки и неправильные построения некоторых предложений текста.
3,"Понравилась структура курса, заострение внимания на деталях, которые скорее всего пригодятся в будущем Блок про ООП показался сумбурным и путанным, с не самыми лучшими примерами"
4,"Неплохой курс для начала изучения С/С++. Лектор обладает хорошей дикцией и приятно подает материал, а видеолекции продублированы текстом. Отдельный плюс в карму за оперативное реагирование на запросы учеников. Небольшой недостаток курса - отсутствие темы, посвященной стилистике и правилам хорошего тона при написании кода на С/С++. В целом хорошие впечатления от курса."
5,"клевый курс, освежил знания"
6,Очень позитивный и веселый преподаватель! интересно и непринужденно проходит обучение. СПАСИБО!)
7,👍
8,"Впечатления сугубо положительные, пожалуй курс на уровне с первым, для начинающих. Хотелось бы еще больше задач на написание кода, тут темы более сложные и закреплять их стоит дольше"
9,Пока доступно. Есть моменты которые нужно было загуглить для лучшего понимания. А так воспринимаю вполне процентов на 86%
10,Огромная благодарность авторам за труд! Полезный материал правильно структурирован!
11,Отличный курс!
12,Доступное объяснение и хорошая структура курса.
13,"Отличный курс, не смотря на то, что не первый, узнал много нового. Благодарю Артема и сразу перехожу на его курс ООП)"
14,"Курс просто замечательный! Даёт понимание основ, что вызывает желание продолжать обучение)"
15,"Для начинающих курс отличный, задания интересные, комментарии под заданиями помогают если зашёл в тупик. Рекомендую"
16,"Материал очень интересный и полезный. Особенно полезен для студентов биологов, так как курс объединяет несколько университетских дисциплин."
17,Курс огонь)
18,круто
19,"Отличный курс для изучения и практики основ Python, хорошие видеобзоры и много практических задач."
20,"Удобно, что после пройденного блока материала представлены все данные, хорошее закрепление. Пожелание: писать лектору более разборчивым почерком. Такая беда с письмом у многих, я не исключение, но тогда б печатными буквами излагать."
21,"Отличный курс! Темы подробно объясняются. Задачи идут от простых к сложным. Есть задачки, над которыми надо подумать, а это приятно."
22,Спасибо за ваш труд. Курс отличный.
23,"Очень понравился курс! Большую часть материала уже знал, но задачи помогли закрепить знания."
24,"Отличный курс. Первый, который я прошла полностью. Спасибо автору!"
25,"Отличный курс, всем рекомендую. Понравилось большое колличество практики, ну и экзамены заставляли иногда понервничать. С радостью прошел данный курс как и курс для начинающих от этой же команды. Ждем курс для суперпровдинутых с ООП и более углубленным изучением библиотек и возможно фреймворков."
26,"Спасибо, вам,курс оказался очень полезным для меня,что то пришлось вспомнить,а так же многое узнать,в частности,определенные термины"
27,Пока что все доступно и логически непротиворечиво изложено.
28,Спасибо за курс
